Employee ID: 4, Shift Type: day, Date: 2024-06-17
Employee ID: 2, Shift Type: day, Date: 2024-06-17
Employee ID: 7, Shift Type: evening, Date: 2024-06-17
Employee ID: 3, Shift Type: evening, Date: 2024-06-17
Employee ID: 5, Shift Type: night, Date: 2024-06-17
Employee ID: 1, Shift Type: night, Date: 2024-06-17
Employee ID: 1, Shift Type: day, Date: 2024-06-18
Employee ID: 3, Shift Type: day, Date: 2024-06-18
Employee ID: 4, Shift Type: evening, Date: 2024-06-18
Employee ID: 2, Shift Type: evening, Date: 2024-06-18
Employee ID: 6, Shift Type: night, Date: 2024-06-18
Employee ID: 5, Shift Type: night, Date: 2024-06-18
Employee ID: 7, Shift Type: day, Date: 2024-06-19
Employee ID: 1, Shift Type: day, Date: 2024-06-19
Employee ID: 6, Shift Type: evening, Date: 2024-06-19
Employee ID: 4, Shift Type: evening, Date: 2024-06-19
Employee ID: 5, Shift Type: night, Date: 2024-06-19
Employee ID: 3, Shift Type: night, Date: 2024-06-19
Employee ID: 3, Shift Type: day, Date: 2024-06-20
Employee ID: 4, Shift Type: day, Date: 2024-06-20
Employee ID: 5, Shift Type: evening, Date: 2024-06-20
Employee ID: 2, Shift Type: evening, Date: 2024-06-20
Employee ID: 7, Shift Type: night, Date: 2024-06-20
Employee ID: 1, Shift Type: night, Date: 2024-06-20
Employee ID: 5, Shift Type: day, Date: 2024-06-21
Employee ID: 2, Shift Type: day, Date: 2024-06-21
Employee ID: 7, Shift Type: evening, Date: 2024-06-21
Employee ID: 1, Shift Type: evening, Date: 2024-06-21
Employee ID: 6, Shift Type: night, Date: 2024-06-21
Employee ID: 4, Shift Type: night, Date: 2024-06-21
Employee ID: 5, Shift Type: day, Date: 2024-06-22
Employee ID: 7, Shift Type: day, Date: 2024-06-22
Employee ID: 3, Shift Type: evening, Date: 2024-06-22
Employee ID: 1, Shift Type: evening, Date: 2024-06-22
Employee ID: 4, Shift Type: night, Date: 2024-06-22
Employee ID: 6, Shift Type: night, Date: 2024-06-22
Employee ID: 7, Shift Type: day, Date: 2024-06-23
Employee ID: 1, Shift Type: day, Date: 2024-06-23
Employee ID: 3, Shift Type: evening, Date: 2024-06-23
Employee ID: 6, Shift Type: evening, Date: 2024-06-23
Employee ID: 2, Shift Type: night, Date: 2024-06-23
Employee ID: 4, Shift Type: night, Date: 2024-06-23
